Nodi 48
0 1 7
0 2 5
0 3 5
0 4 6
0 5 6
0 6 5
0 7 6
0 8 3
0 9 9
0 10 5
0 11 3
0 12 6
0 13 6
0 14 5
0 15 3
0 16 6
0 17 4
0 18 5
0 19 8
0 20 5
0 21 6
0 22 7
0 23 4
0 24 6
0 25 7
0 26 8
0 27 8
0 28 4
0 29 7
0 30 4
0 31 7
0 32 5
0 33 8
0 34 6
0 35 7
0 36 7
0 37 6
0 38 8
0 39 5
0 40 8
0 41 4
0 42 7
0 43 6
0 44 4
0 45 7
0 46 6
0 47 6
1 2 5
1 3 5
1 4 6
1 5 2
1 6 3
1 7 6
1 8 7
1 9 8
1 10 6
1 11 5
1 12 3
1 13 8
1 14 8
1 15 7
1 16 5
1 17 5
1 18 5
1 19 4
1 20 6
1 21 5
1 22 4
1 23 5
1 24 5
1 25 6
1 26 6
1 27 6
1 28 4
1 29 5
1 30 5
1 31 7
1 32 7
1 33 8
1 34 7
1 35 5
1 36 3
1 37 4
1 38 5
1 39 8
1 40 8
1 41 7
1 42 5
1 43 5
1 44 3
1 45 7
1 46 6
1 47 5
2 3 6
2 4 7
2 5 7
2 6 4
2 7 8
2 8 7
2 9 10
2 10 7
2 11 2
2 12 7
2 13 4
2 14 6
2 15 6
2 16 5
2 17 8
2 18 4
2 19 5
2 20 7
2 21 7
2 22 7
2 23 4
2 24 6
2 25 7
2 26 7
2 27 7
2 28 6
2 29 6
2 30 7
2 31 5
2 32 7
2 33 6
2 34 6
2 35 8
2 36 2
2 37 7
2 38 4
2 39 7
2 40 9
2 41 7
2 42 7
2 43 6
2 44 6
2 45 6
2 46 9
2 47 7
3 4 6
3 5 6
3 6 5
3 7 7
3 8 4
3 9 9
3 10 2
3 11 4
3 12 2
3 13 3
3 14 4
3 15 4
3 16 3
3 17 4
3 18 5
3 19 4
3 20 5
3 21 6
3 22 7
3 23 7
3 24 4
3 25 6
3 26 8
3 27 7
3 28 6
3 29 6
3 30 6
3 31 4
3 32 6
3 33 5
3 34 5
3 35 7
3 36 7
3 37 5
3 38 6
3 39 6
3 40 3
3 41 9
3 42 4
3 43 8
3 44 5
3 45 7
3 46 5
3 47 8
4 5 4
4 6 7
4 7 5
4 8 5
4 9 10
4 10 5
4 11 8
4 12 7
4 13 4
4 14 5
4 15 3
4 16 7
4 17 5
4 18 6
4 19 5
4 20 5
4 21 5
4 22 6
4 23 5
4 24 5
4 25 7
4 26 6
4 27 9
4 28 6
4 29 5
4 30 2
4 31 2
4 32 6
4 33 5
4 34 3
4 35 4
4 36 6
4 37 6
4 38 4
4 39 2
4 40 8
4 41 6
4 42 5
4 43 7
4 44 7
4 45 6
4 46 4
4 47 6
5 6 5
5 7 4
5 8 5
5 9 7
5 10 6
5 11 6
5 12 5
5 13 6
5 14 7
5 15 7
5 16 3
5 17 3
5 18 4
5 19 2
5 20 5
5 21 7
5 22 5
5 23 4
5 24 3
5 25 7
5 26 5
5 27 7
5 28 2
5 29 7
5 30 5
5 31 5
5 32 5
5 33 7
5 34 6
5 35 7
5 36 5
5 37 2
5 38 6
5 39 6
5 40 9
5 41 6
5 42 6
5 43 3
5 44 5
5 45 5
5 46 4
5 47 3
6 7 5
6 8 5
6 9 8
6 10 6
6 11 2
6 12 4
6 13 7
6 14 6
6 15 8
6 16 2
6 17 6
6 18 4
6 19 5
6 20 4
6 21 6
6 22 3
6 23 3
6 24 6
6 25 6
6 26 3
6 27 3
6 28 5
6 29 2
6 30 5
6 31 7
6 32 4
6 33 5
6 34 5
6 35 5
6 36 5
6 37 4
6 38 5
6 39 6
6 40 8
6 41 6
6 42 4
6 43 5
6 44 4
6 45 7
6 46 6
6 47 6
7 8 6
7 9 7
7 10 5
7 11 7
7 12 6
7 13 4
7 14 5
7 15 7
7 16 5
7 17 6
7 18 5
7 19 6
7 20 4
7 21 6
7 22 2
7 23 4
7 24 6
7 25 5
7 26 6
7 27 6
7 28 2
7 29 6
7 30 3
7 31 3
7 32 7
7 33 6
7 34 2
7 35 6
7 36 7
7 37 6
7 38 5
7 39 5
7 40 7
7 41 5
7 42 5
7 43 4
7 44 6
7 45 3
7 46 5
7 47 4
8 9 9
8 10 2
8 11 6
8 12 6
8 13 3
8 14 4
8 15 4
8 16 4
8 17 5
8 18 4
8 19 7
8 20 2
8 21 5
8 22 7
8 23 6
8 24 4
8 25 5
8 26 5
8 27 7
8 28 7
8 29 7
8 30 6
8 31 5
8 32 7
8 33 5
8 34 4
8 35 4
8 36 6
8 37 3
8 38 6
8 39 3
8 40 6
8 41 7
8 42 6
8 43 5
8 44 5
8 45 6
8 46 5
8 47 5
9 10 7
9 11 8
9 12 7
9 13 9
9 14 9
9 15 9
9 16 7
9 17 7
9 18 6
9 19 5
9 20 7
9 21 7
9 22 9
9 23 7
9 24 5
9 25 8
9 26 5
9 27 10
9 28 9
9 29 9
9 30 9
9 31 8
9 32 5
9 33 7
9 34 7
9 35 7
9 36 8
9 37 9
9 38 6
9 39 9
9 40 11
9 41 7
9 42 9
9 43 7
9 44 5
9 45 8
9 46 8
9 47 10
10 11 6
10 12 4
10 13 5
10 14 2
10 15 2
10 16 4
10 17 3
10 18 6
10 19 6
10 20 4
10 21 7
10 22 6
10 23 5
10 24 6
10 25 7
10 26 7
10 27 5
10 28 7
10 29 7
10 30 7
10 31 5
10 32 5
10 33 7
10 34 3
10 35 6
10 36 5
10 37 5
10 38 7
10 39 5
10 40 5
10 41 9
10 42 6
10 43 7
10 44 6
10 45 8
10 46 6
10 47 6
11 12 5
11 13 6
11 14 4
11 15 6
11 16 4
11 17 7
11 18 2
11 19 7
11 20 5
11 21 7
11 22 5
11 23 3
11 24 7
11 25 5
11 26 5
11 27 5
11 28 5
11 29 4
11 30 7
11 31 7
11 32 6
11 33 7
11 34 5
11 35 6
11 36 4
11 37 6
11 38 6
11 39 6
11 40 7
11 41 5
11 42 6
11 43 5
11 44 5
11 45 8
11 46 8
11 47 6
12 13 5
12 14 6
12 15 6
12 16 5
12 17 2
12 18 7
12 19 6
12 20 4
12 21 4
12 22 5
12 23 6
12 24 2
12 25 7
12 26 7
12 27 7
12 28 6
12 29 4
12 30 5
12 31 5
12 32 4
12 33 5
12 34 4
12 35 5
12 36 5
12 37 7
12 38 4
12 39 7
12 40 5
12 41 8
12 42 2
12 43 7
12 44 4
12 45 6
12 46 5
12 47 6
13 14 5
13 15 6
13 16 6
13 17 7
13 18 5
13 19 7
13 20 4
13 21 5
13 22 6
13 23 4
13 24 6
13 25 3
13 26 5
13 27 10
13 28 6
13 29 5
13 30 3
13 31 6
13 32 5
13 33 2
13 34 2
13 35 4
13 36 6
13 37 6
13 38 7
13 39 5
13 40 6
13 41 9
13 42 3
13 43 6
13 44 6
13 45 7
13 46 5
13 47 6
14 15 2
14 16 4
14 17 5
14 18 6
14 19 6
14 20 5
14 21 6
14 22 7
14 23 5
14 24 6
14 25 8
14 26 9
14 27 7
14 28 6
14 29 7
14 30 5
14 31 3
14 32 7
14 33 6
14 34 3
14 35 7
14 36 7
14 37 6
14 38 5
14 39 3
14 40 7
14 41 7
14 42 7
14 43 7
14 44 6
14 45 6
14 46 7
14 47 4
15 16 6
15 17 5
15 18 8
15 19 8
15 20 6
15 21 8
15 22 8
15 23 7
15 24 8
15 25 9
15 26 9
15 27 6
15 28 5
15 29 6
15 30 5
15 31 5
15 32 7
15 33 8
15 34 5
15 35 7
15 36 7
15 37 7
15 38 7
15 39 5
15 40 7
15 41 7
15 42 8
15 43 9
15 44 7
15 45 8
15 46 6
15 47 6
16 17 6
16 18 4
16 19 3
16 20 2
16 21 4
16 22 5
16 23 4
16 24 4
16 25 5
16 26 5
16 27 5
